element,method,macro_iteration,total_energy_eh,energy_change_eh,orbital_gradient_norm,converged
F,casscf-superci,0,-99.38144062096,,0.5090401683926711,False
F,casscf-superci,1,-99.4714197534478,-0.0899791324877981,0.16939290869510645,False
F,casscf-superci,2,-99.48552803789543,-0.014108284447630126,0.05048446273338184,False
F,casscf-superci,3,-99.48599239485699,-0.00046435696155811,0.0036854420418925503,False
F,casscf-superci,4,-99.48599791781284,-5.522955845549404e-06,0.0016200936558181994,False
F,casscf-superci,5,-99.48599839263565,-4.7482281217980926e-07,0.0006451596649694934,False
F,casscf-superci,6,-99.48599848393386,-9.129820455200388e-08,0.00031109799272054485,False
F,casscf-superci,7,-99.48599850307573,-1.9141879192829947e-08,0.00014093170754586506,False
F,casscf-superci,8,-99.48599850715621,-4.080476401213673e-09,6.586173924141817e-05,True
F,dmrg-superci,0,-99.38144062096,,0.5090401683926699,False
F,dmrg-superci,1,-99.47141975344778,-0.08997913248776968,0.1693929086951078,False
F,dmrg-superci,2,-99.48552803789546,-0.01410828444768697,0.05048446273346851,False
F,dmrg-superci,3,-99.48599239485691,-0.0004643569614444232,0.003685442041851303,False
F,dmrg-superci,4,-99.48599791781282,-5.522955916603678e-06,0.0016200936558152142,False
F,dmrg-superci,5,-99.48599839263568,-4.748228548123734e-07,0.0006451596649650614,False
F,dmrg-superci,6,-99.48599848393394,-9.129826139542274e-08,0.0003110979927474892,False
F,dmrg-superci,7,-99.48599850307573,-1.9141793927701656e-08,0.0001409317076268305,False
F,dmrg-superci,8,-99.48599850715627,-4.080533244632534e-09,6.586173945204406e-05,True
F,dmrg-supercipt,0,-99.38144062096,,0.7198915099335982,False
F,dmrg-supercipt,1,-99.48155470249965,-0.10011408153964396,0.22026465304745052,False
F,dmrg-supercipt,2,-99.4857680777679,-0.0042133752682502745,0.03696750798704099,False
F,dmrg-supercipt,3,-99.48598615428946,-0.00021807652156269342,0.011118912280980707,False
F,dmrg-supercipt,4,-99.48599781467124,-1.1660381773026529e-05,0.0017672538985634527,False
F,dmrg-supercipt,5,-99.48599846700745,-6.5233621171501e-07,0.0005968337861295922,False
F,dmrg-supercipt,6,-99.48599850566352,-3.865606856834347e-08,9.383341150101257e-05,False
F,dmrg-supercipt,7,-99.48599850809299,-2.4294735112562194e-09,3.4726348199086656e-05,True
Cl,casscf-superci,0,-460.8417259728209,,0.2371930137345049,False
Cl,casscf-superci,1,-460.8802445965178,-0.038518623696916165,0.08467681912463586,False
Cl,casscf-superci,2,-460.88685696430207,-0.0066123677842711,0.02378717002810766,False
Cl,casscf-superci,3,-460.88719822041674,-0.0003412561146660664,0.004198775922649868,False
Cl,casscf-superci,4,-460.887203484358,-5.263941261546279e-06,0.0008059716693016098,False
Cl,casscf-superci,5,-460.88720370273904,-2.1838104657945223e-07,0.00022590394347501712,False
Cl,casscf-superci,6,-460.88720371706916,-1.4330112207971979e-08,5.8091804232060765e-05,False
Cl,casscf-superci,7,-460.8872037181177,-1.0485337043064646e-09,1.6622887938792915e-05,True
Cl,dmrg-superci,0,-460.8417259728209,,0.2371930137345066,False
Cl,dmrg-superci,1,-460.88024459651746,-0.038518623696575105,0.08467681912463666,False
Cl,dmrg-superci,2,-460.8868569642992,-0.00661236778176999,0.023787170438836346,False
Cl,dmrg-superci,3,-460.8871982204114,-0.000341256112164956,0.004198779461659893,False
Cl,dmrg-superci,4,-460.88720348435766,-5.263946263767139e-06,0.00080597271849408,False
Cl,dmrg-superci,5,-460.8872037027395,-2.1838184238731628e-07,0.00022590387847800408,False
Cl,dmrg-superci,6,-460.8872037170696,-1.4330112207971979e-08,5.809181564304752e-05,False
Cl,dmrg-superci,7,-460.88720371811826,-1.0486473911441863e-09,1.6622893533040436e-05,True
Cl,dmrg-supercipt,0,-460.8417259728209,,0.3354415769234889,False
Cl,dmrg-supercipt,1,-460.88626879590413,-0.04454282308324764,0.07681179536973877,False
Cl,dmrg-supercipt,2,-460.8871270222246,-0.0008582263204743867,0.01349643328722074,False
Cl,dmrg-supercipt,3,-460.8871895642028,-6.25419781954406e-05,0.005851236109398293,False
Cl,dmrg-supercipt,4,-460.8871970723929,-7.508190094540623e-06,0.004019581734671665,False
Cl,dmrg-supercipt,5,-460.8871992578082,-2.1854153260392195e-06,0.003306208883239394,False
Cl,dmrg-supercipt,6,-460.88720054275444,-1.2849462223130104e-06,0.002790736772332572,False
Cl,dmrg-supercipt,7,-460.8872014401519,-8.973974559012277e-07,0.0023638362053032607,False
Cl,dmrg-supercipt,8,-460.88720208236555,-6.42213649371115e-07,0.002003113203211473,False
Cl,dmrg-supercipt,9,-460.8872025433864,-4.610208748090372e-07,0.0016975371062991308,False
Cl,dmrg-supercipt,10,-460.88720287446563,-3.3107920671682223e-07,0.0014385901270793935,False
Cl,dmrg-supercipt,11,-460.88720311224023,-2.377746000092884e-07,0.0012191463633252518,False
Cl,dmrg-supercipt,12,-460.88720328300633,-1.7076609992727754e-07,0.0010331777645391964,False
Cl,dmrg-supercipt,13,-460.8872034056488,-1.2264246151971747e-07,0.0008755773942898733,False
Cl,dmrg-supercipt,14,-460.8872034937292,-8.808041229713126e-08,0.0007420176768871509,False
Cl,dmrg-supercipt,15,-460.8872035569878,-6.325859658318223e-08,0.0006288312909830347,False
Cl,dmrg-supercipt,16,-460.88720360241916,-4.5431363560055615e-08,0.0005329103921454578,False
Cl,dmrg-supercipt,17,-460.8872036350475,-3.2628349799779244e-08,0.00045162124457301725,False
Cl,dmrg-supercipt,18,-460.88720365848144,-2.3433926799043547e-08,0.00038273188684381267,False
Cl,dmrg-supercipt,19,-460.8872036753113,-1.6829858395794872e-08,0.00032435083680419256,False
Cl,dmrg-supercipt,20,-460.8872036873983,-1.2087014056305634e-08,0.0002748751493349749,False
Cl,dmrg-supercipt,21,-460.887203696079,-8.680672181071714e-09,0.00023294639916433493,False
Cl,dmrg-supercipt,22,-460.88720370231346,-6.2344724938157015e-09,0.00019741337928811374,False
Cl,dmrg-supercipt,23,-460.8872037067914,-4.477954007597873e-09,0.00016730049017411237,False
Cl,dmrg-supercipt,24,-460.8872037100068,-3.215404831280466e-09,0.00014178095147076707,False
Cl,dmrg-supercipt,25,-460.88720371231636,-2.3095481083146296e-09,0.00012015410036014934,False
Cl,dmrg-supercipt,26,-460.88720371397505,-1.6586909623583779e-09,0.00010182615313766737,False
