element,method,state,energy_eh
F,exact-superci,1,-99.48686574909082
F,exact-superci,2,-99.48686574908758
F,exact-superci,3,-99.48686574908041
F,exact-superci,4,-99.48686574907651
F,exact-superci,5,-99.48426402330819
F,exact-superci,6,-99.48426402329379
F,dmrg-superci,1,-99.48686574909078
F,dmrg-superci,2,-99.48686574908757
F,dmrg-superci,3,-99.48686574908032
F,dmrg-superci,4,-99.48686574907651
F,dmrg-superci,5,-99.48426402330819
F,dmrg-superci,6,-99.48426402329379
Cl,exact-superci,1,-460.88877235267694
Cl,exact-superci,2,-460.88877235266716
Cl,exact-superci,3,-460.888772352664
Cl,exact-superci,4,-460.88877235265943
Cl,exact-superci,5,-460.88406644902227
Cl,exact-superci,6,-460.8840664490183
Cl,dmrg-superci,1,-460.88877235267734
Cl,dmrg-superci,2,-460.8887723526675
Cl,dmrg-superci,3,-460.8887723526644
Cl,dmrg-superci,4,-460.8887723526598
Cl,dmrg-superci,5,-460.88406644902267
Cl,dmrg-superci,6,-460.8840664490187
Br,exact-superci,1,-2604.363617372449
Br,exact-superci,2,-2604.363617372422
Br,exact-superci,3,-2604.363617372406
Br,exact-superci,4,-2604.363617372352
Br,exact-superci,5,-2604.346627220638
Br,exact-superci,6,-2604.3466272206315
Br,dmrg-superci,1,-2604.3636173724503
Br,dmrg-superci,2,-2604.3636173724235
Br,dmrg-superci,3,-2604.3636173724076
Br,dmrg-superci,4,-2604.3636173723535
Br,dmrg-superci,5,-2604.346627220639
Br,dmrg-superci,6,-2604.346627220633
I,exact-superci,1,-7111.716520647948
I,exact-superci,2,-7111.716520647804
I,exact-superci,3,-7111.716520647795
I,exact-superci,4,-7111.716520647603
I,exact-superci,5,-7111.6839202108295
I,exact-superci,6,-7111.683920210811
I,dmrg-superci,1,-7111.716520647944
I,dmrg-superci,2,-7111.7165206478
I,dmrg-superci,3,-7111.716520647791
I,dmrg-superci,4,-7111.716520647599
I,dmrg-superci,5,-7111.683920210826
I,dmrg-superci,6,-7111.683920210808
At,exact-superci,1,-22855.64922210571
At,exact-superci,2,-22855.649222105643
At,exact-superci,3,-22855.649222105585
At,exact-superci,4,-22855.649222105443
At,exact-superci,5,-22855.56206194764
At,exact-superci,6,-22855.56206194742
At,dmrg-superci,1,-22855.649222105698
At,dmrg-superci,2,-22855.649222105632
At,dmrg-superci,3,-22855.649222105574
At,dmrg-superci,4,-22855.649222105432
At,dmrg-superci,5,-22855.56206194763
At,dmrg-superci,6,-22855.56206194741
