element,method,protocol_version,status,converged,total_energy_eh,cas_energy_eh,final_gradient_norm,macroiterations,orbital_updates,wall_seconds,state_average_tr_residual,active_orbital_closure_error,root_pair_residual,root_orthogonality_error,projected_hamiltonian_error_eh,maximum_pair_splitting_eh,solver_orbital_closure_error,scf_energy_eh,scf_iterations,naux,nspinor,delta_vs_exact_eh,max_root_delta_vs_exact_eh,max_occupation_delta_vs_exact,trajectory_energy_error_eh,trajectory_gradient_error
F,exact-superci,7,ok,True,-99.48599850715621,-23.933948944797194,6.586259002449744e-05,9,8,1.088612712919712,3.981220649562177e-12,1.8212828757405567e-15,,,,,,-99.51060169781215,9,293,60,0.0,0.0,0.0,0.0,0.0
F,dmrg-superci,7,ok,True,-99.48599850715618,-23.933948944797137,6.586259002888892e-05,9,8,21.461078211665154,5.773160892360862e-15,1.821276142608692e-15,1.0391671551647767e-09,1.4752290795525883e-15,7.105920172536119e-14,1.439559582649963e-11,1.821276142608692e-15,-99.51060169781215,9,293,60,2.842170943040401e-14,8.526512829121202e-14,4.440892098500626e-16,4.263256414560601e-14,7.993849722789936e-15
Cl,exact-superci,7,ok,True,-460.8872037181179,-14.758573041294255,1.6622729839547855e-05,8,7,1.7414157167077065,5.0193816588267435e-12,1.7937214693574006e-15,,,,,,-460.97293419927445,8,338,68,0.0,0.0,0.0,0.0,0.0
Cl,dmrg-superci,7,ok,True,-460.88720371811837,-14.758573041294312,1.6622729836108017e-05,8,7,19.200506307184696,5.5511151893521545e-15,2.2780363000931973e-15,1.0051525700785462e-09,1.8943307443209375e-15,5.686005566158151e-14,3.979039320256561e-12,2.2780363000931973e-15,-460.97293419927445,8,338,68,-4.547473508864641e-13,3.979039320256561e-13,6.661338147750939e-16,4.547473508864641e-13,1.2691541882107332e-14
Br,exact-superci,7,ok,True,-2604.357953988483,-13.184447267853102,2.3944361711883068e-05,7,6,4.048044785857201,8.828436159563452e-11,2.379090945779192e-15,,,,,,-2604.4457853624604,9,437,86,0.0,0.0,0.0,0.0,0.0
Br,dmrg-superci,7,ok,True,-2604.3579539884845,-13.184447267853102,2.394436167292047e-05,7,6,20.57015847414732,3.774774735909803e-15,2.061114246950638e-15,7.97810892071552e-10,9.414195826991664e-16,8.414660806243717e-15,6.366462912410498e-12,2.061114246950638e-15,-2604.4457853624604,9,437,86,-1.3642420526593924e-12,1.3642420526593924e-12,2.4424906541753444e-15,1.3642420526593924e-12,5.532790751158062e-14
I,exact-superci,7,ok,True,-7111.705653835465,-11.261228756577111,1.5491789986038572e-05,7,6,9.921356275677681,1.0257681511575599e-11,2.919100251117119e-15,,,,,,-7111.790304601767,10,459,104,0.0,0.0,0.0,0.0,0.0
I,dmrg-superci,7,ok,True,-7111.705653835461,-11.261228756577111,1.5491790045516307e-05,7,6,25.576550282537937,6.217267837148392e-15,2.71024719738237e-15,7.11351535244732e-10,1.5547649994934692e-15,1.1620911391327426e-14,1.8189894035458565e-11,2.71024719738237e-15,-7111.790304601767,10,459,104,3.637978807091713e-12,3.637978807091713e-12,2.7755575615628914e-15,5.4569682106375694e-12,1.7616501790315708e-13
At,exact-superci,7,ok,True,-22855.620168719575,-10.938835076245596,3.39425643111227e-05,8,7,58.90854185819626,1.3592425283877007e-10,2.515943901745829e-15,,,,,,-22855.698244015508,39,666,136,0.0,0.0,0.0,0.0,0.0
At,dmrg-superci,7,ok,True,-22855.620168719564,-10.938835076245596,3.394256437582132e-05,8,7,55.653554789721966,5.6564585119905724e-11,2.7791098871816535e-15,1.0538436809354807e-09,1.4713073293813407e-15,1.1978093541372753e-14,2.1827872842550278e-10,2.7791098871816535e-15,-22855.698244015508,39,666,136,1.0913936421275139e-11,1.0913936421275139e-11,1.6209256159527285e-14,1.0913936421275139e-11,7.503980076206673e-14
