element,method,state,energy_eh
F,casscf-superci,0,-99.48686574909054
F,casscf-superci,1,-99.48686574908757
F,casscf-superci,2,-99.48686574908068
F,casscf-superci,3,-99.48686574907661
F,casscf-superci,4,-99.4842640233085
F,casscf-superci,5,-99.48426402329349
F,dmrg-superci,0,-99.48686574909058
F,dmrg-superci,1,-99.48686574908763
F,dmrg-superci,2,-99.48686574908072
F,dmrg-superci,3,-99.48686574907663
F,dmrg-superci,4,-99.48426402330853
F,dmrg-superci,5,-99.48426402329352
F,dmrg-supercipt,0,-99.48686575209987
F,dmrg-supercipt,1,-99.48686575209692
F,dmrg-supercipt,2,-99.48686575209003
F,dmrg-supercipt,3,-99.48686575208588
F,dmrg-supercipt,4,-99.48426402010017
F,dmrg-supercipt,5,-99.48426402008516
Cl,casscf-superci,0,-460.88877235267876
Cl,casscf-superci,1,-460.8887723526664
Cl,casscf-superci,2,-460.888772352664
Cl,casscf-superci,3,-460.88877235265716
Cl,casscf-superci,4,-460.88406644902113
Cl,casscf-superci,5,-460.8840664490187
Cl,dmrg-superci,0,-460.8887723526793
Cl,dmrg-superci,1,-460.88877235266693
Cl,dmrg-superci,2,-460.88877235266455
Cl,dmrg-superci,3,-460.8887723526578
Cl,dmrg-superci,4,-460.884066449022
Cl,dmrg-superci,5,-460.884066449019
Cl,dmrg-supercipt,0,-460.88877236341824
Cl,dmrg-supercipt,1,-460.8887723634059
Cl,dmrg-supercipt,2,-460.8887723634034
Cl,dmrg-supercipt,3,-460.8887723633967
Cl,dmrg-supercipt,4,-460.8840664186885
Cl,dmrg-supercipt,5,-460.88406641868613
Br,casscf-superci,0,-2604.3636173724412
Br,casscf-superci,1,-2604.3636173724144
Br,casscf-superci,2,-2604.3636173723976
Br,casscf-superci,3,-2604.3636173723457
Br,casscf-superci,4,-2604.3466272206547
Br,casscf-superci,5,-2604.346627220648
Br,dmrg-superci,0,-2604.363617372442
Br,dmrg-superci,1,-2604.3636173724153
Br,dmrg-superci,2,-2604.363617372399
Br,dmrg-superci,3,-2604.3636173723467
Br,dmrg-superci,4,-2604.346627220656
Br,dmrg-superci,5,-2604.3466272206488
Br,dmrg-supercipt,0,-2604.3636174382445
Br,dmrg-supercipt,1,-2604.3636174382177
Br,dmrg-supercipt,2,-2604.363617438201
Br,dmrg-supercipt,3,-2604.363617438149
Br,dmrg-supercipt,4,-2604.346627078711
Br,dmrg-supercipt,5,-2604.3466270787044
I,casscf-superci,0,-7111.716520647949
I,casscf-superci,1,-7111.716520647811
I,casscf-superci,2,-7111.716520647802
I,casscf-superci,3,-7111.716520647602
I,casscf-superci,4,-7111.683920210824
I,casscf-superci,5,-7111.683920210807
I,dmrg-superci,0,-7111.716520647933
I,dmrg-superci,1,-7111.716520647786
I,dmrg-superci,2,-7111.716520647784
I,dmrg-superci,3,-7111.716520647579
I,dmrg-superci,4,-7111.683920210853
I,dmrg-superci,5,-7111.683920210811
I,dmrg-supercipt,0,-7111.716520693851
I,dmrg-supercipt,1,-7111.7165206937125
I,dmrg-supercipt,2,-7111.716520693703
I,dmrg-supercipt,3,-7111.716520693503
I,dmrg-supercipt,4,-7111.683920106143
I,dmrg-supercipt,5,-7111.683920106126
At,casscf-superci,0,-22855.649222105676
At,casscf-superci,1,-22855.649222105636
At,casscf-superci,2,-22855.64922210553
At,casscf-superci,3,-22855.649222105418
At,casscf-superci,4,-22855.56206194763
At,casscf-superci,5,-22855.562061947374
At,dmrg-superci,0,-22855.649222105672
At,dmrg-superci,1,-22855.649222105625
At,dmrg-superci,2,-22855.649222105523
At,dmrg-superci,3,-22855.649222105407
At,dmrg-superci,4,-22855.56206194754
At,dmrg-superci,5,-22855.562061947337
At,dmrg-supercipt,0,-22855.649221914395
At,dmrg-supercipt,1,-22855.64922191435
At,dmrg-supercipt,2,-22855.649221914246
At,dmrg-supercipt,3,-22855.649221914133
At,dmrg-supercipt,4,-22855.562062315985
At,dmrg-supercipt,5,-22855.562062315727
