element,method,status,converged,total_energy_eh,cas_energy_eh,final_gradient_norm,macroiterations,orbital_updates,wall_seconds,scf_energy_eh,scf_iterations,naux,nspinor,delta_vs_casscf_superci_eh
F,casscf-superci,ok,True,-99.48599850715621,-23.933948944873265,6.586173924141817e-05,9,8,1.63664086535573,-99.51060169781223,9,293,60,0.0
F,dmrg-superci,ok,True,-99.48599850715627,-23.933948944873336,6.586173945204406e-05,9,8,11.536362659186125,-99.51060169781223,9,293,60,-5.684341886080802e-14
F,dmrg-supercipt,ok,True,-99.48599850809299,-23.933942724717326,3.4726348199086656e-05,8,7,11.237347856163979,-99.51060169781223,9,293,60,-9.36779542826116e-10
Cl,casscf-superci,ok,True,-460.8872037181177,-14.758573041326258,1.6622887938792915e-05,8,7,2.347068551927805,-460.972934199274,8,338,68,0.0
Cl,dmrg-superci,ok,True,-460.88720371811826,-14.758573041327963,1.6622893533040436e-05,8,7,11.782911721616983,-460.972934199274,8,338,68,-5.684341886080801e-13
Cl,dmrg-supercipt,ok,True,-460.88720371516644,-14.758543712363007,8.629390156710107e-05,28,27,42.914634205400944,-460.972934199274,8,338,68,2.9512534638342913e-09
Br,casscf-superci,ok,True,-2604.3579539884836,-13.184447266783081,2.394721209613194e-05,7,6,4.642599627375603,-2604.44578536246,9,437,86,0.0
Br,dmrg-superci,ok,True,-2604.357953988485,-13.184447266778989,2.3947242903904814e-05,7,6,12.968931268900633,-2604.44578536246,9,437,86,-1.3642420526593924e-12
Br,dmrg-supercipt,ok,True,-2604.357953985038,-13.184425071253372,9.285592837406952e-05,25,24,57.39316204562783,-2604.44578536246,9,437,86,3.4456206776667386e-09
I,casscf-superci,ok,True,-7111.7056538354655,-11.261228756613491,1.5491705976615893e-05,7,6,10.463639490306377,-7111.790304601764,10,459,104,0.0
I,dmrg-superci,ok,True,-7111.705653835457,-11.261228757237404,1.5494378557667565e-05,7,6,17.869539599865675,-7111.790304601764,10,459,104,8.185452315956354e-12
I,dmrg-supercipt,ok,True,-7111.705653831173,-11.261200381608433,8.833434223341665e-05,25,24,89.60970130562782,-7111.790304601764,10,459,104,4.292814992368221e-09
At,casscf-superci,ok,True,-22855.620168719543,-10.938835076474788,3.3942656164017904e-05,8,7,47.458261616528034,-22855.698244015486,9,666,136,0.0
At,dmrg-superci,ok,True,-22855.620168719517,-10.93883507694045,3.394469844675562e-05,8,7,58.662003837525845,-22855.698244015486,9,666,136,2.546585164964199e-11
At,dmrg-supercipt,ok,True,-22855.620168714806,-10.938790813230298,8.728909084403748e-05,25,24,243.32283874601126,-22855.698244015486,9,666,136,4.73664840683341e-09
